week_start,truck_id,allocated_for_shipping,avg_cycle_time_min,trip_count,tonnage_moved_ton,road_flood_flag,crossing_queue_flag,jetty_id,truck_id_num,jetty_id_num,supply_per_trip_ton,ton_per_hour,trip_efficiency_score,weekly_truck_supply_ton,weekly_trips_total,avg_cycle_time_weighted,weekly_rain_mm,heavy_rain_flag,avg_wind_ms,max_wind_ms,wind_gust_flag,jetty_weather_index,weekly_ship_demand_ton,supply_alignment_ratio,estimated_queue_hours,truck_to_ship_utilization,reassign_flag,supply_vs_capacity_check,weekly_truck_supply_ton_lag1,weekly_truck_supply_ton_roll4
2023-01-02,shiptruck_1,1,117,15,460.3,0,0,jetty_primary,1,1,30.686666666666667,236.05128205128207,0.1282051282051282,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,,8749.3
2023-01-02,shiptruck_14,1,99,30,719.5,1,0,jetty_primary,6,1,23.983333333333334,436.06060606060606,0.30303030303030304,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_9,1,96,23,607.0,1,0,jetty_primary,20,1,26.391304347826086,379.375,0.23958333333333334,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_2,1,115,16,391.6,0,0,jetty_primary,12,1,24.475,204.31304347826088,0.1391304347826087,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_16,1,92,28,613.1,0,0,jetty_primary,8,1,21.896428571428572,399.8478260869565,0.30434782608695654,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_6,1,99,18,460.7,0,0,jetty_primary,17,1,25.594444444444445,279.21212121212125,0.18181818181818182,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_20,1,93,28,812.7,0,1,jetty_primary,13,1,29.025000000000002,524.3225806451613,0.3010752688172043,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_12,1,102,32,843.3,1,0,jetty_primary,4,1,26.353125,496.05882352941177,0.3137254901960784,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_4,1,118,29,617.4,0,0,jetty_primary,15,1,21.28965517241379,313.93220338983053,0.2457627118644068,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_5,1,100,33,759.9,0,0,jetty_primary,16,1,23.027272727272727,455.93999999999994,0.33,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_13,1,119,19,466.4,0,0,jetty_primary,5,1,24.54736842105263,235.1596638655462,0.15966386554621848,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_19,1,104,28,700.1,0,0,jetty_primary,11,1,25.00357142857143,403.90384615384613,0.2692307692307692,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_17,1,98,29,840.6,0,0,jetty_primary,9,1,28.986206896551725,514.6530612244899,0.29591836734693877,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_3,1,109,18,456.7,0,0,jetty_primary,14,1,25.37222222222222,251.39449541284404,0.1651376146788991,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_7,0,0,0,0.0,0,0,jetty_primary,18,1,,,,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_8,0,0,0,0.0,0,0,jetty_primary,19,1,,,,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_10,0,0,0,0.0,0,0,jetty_primary,2,1,,,,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-02,shiptruck_11,0,0,0,0.0,0,0,jetty_primary,3,1,,,,8749.3,346,81.16666666666667,,,,,,,8749.3,1.0,0.0,1.0,,,8749.3,8749.3
2023-01-09,shiptruck_2,1,95,22,652.3,0,0,jetty_primary,12,1,29.65,411.978947368421,0.23157894736842105,5353.7,197,56.0,,,,,,,5353.7,1.0,0.0,1.0,,,8749.3,7900.4
2023-01-09,shiptruck_17,1,116,23,570.8,1,1,jetty_primary,9,1,24.817391304347826,295.2413793103448,0.19827586206896552,5353.7,197,56.0,,,,,,,5353.7,1.0,0.0,1.0,,,5353.7,7051.5
2023-01-09,shiptruck_5,1,91,17,367.5,1,0,jetty_primary,16,1,21.61764705882353,242.30769230769232,0.18681318681318682,5353.7,197,56.0,,,,,,,5353.7,1.0,0.0,1.0,,,5353.7,6202.599999999999
